0,        1,         2,         3,         4,         5,         6,         7,         8,         9,         "T"
378,10,-65,120,
341,      370,       485,       417,       265,       210,       352,       443,       388,       282,       0
342,      370,       485,       417,       266,       210,       353,       444,       388,       266,       0
341,      370,       485,       417,       266,       210,       352,       443,       388,       279,       0
342,      371,       485,       417,       266,       210,       353,       444,       389,       258,       0
341,      370,       485,       417,       266,       210,       352,       443,       388,       283,       0
343,      370,       486,       417,       266,       209,       353,       444,       389,       266,       0
342,      369,       486,       417,       265,       210,       353,       444,       388,       271,       0
343,      371,       486,       418,       267,       210,       353,       444,       389,       262,       0
342,      370,       485,       417,       266,       209,       353,       443,       388,       274,       0
342,      371,       486,       417,       265,       210,       352,       444,       389,       281,       0
342,      371,       486,       418,       266,       210,       353,       443,       388,       277,       0
341,      370,       486,       417,       265,       210,       353,       443,       389,       260,       0
342,      370,       486,       417,       265,       210,       353,       443,       388,       280,       0
342,      370,       486,       418,       266,       210,       353,       443,       389,       268,       0
343,      370,       486,       418,       267,       210,       353,       444,       389,       275,       0
341,      370,       486,       418,       267,       210,       353,       444,       388,       281,       0
342,      370,       486,       418,       266,       209,       353,       445,       389,       264,       0
342,      370,       486,       417,       266,       209,       353,       444,       388,       273,       0
343,      370,       487,       418,       266,       210,       353,       444,       388,       279,       0
342,      370,       486,       419,       266,       210,       353,       445,       389,       277,       0
341,      370,       487,       418,       266,       210,       353,       444,       389,       262,       0
342,      369,       487,       418,       266,       210,       353,       444,       388,       296,       728.71
342,      370,       486,       418,       266,       210,       353,       445,       389,       265,       586.64
342,      370,       487,       418,       266,       210,       354,       444,       389,       267,       598.085
342,      370,       487,       418,       265,       210,       353,       444,       388,       282,       661.484
342,      370,       487,       419,       266,       210,       353,       444,       389,       293,       731.757
343,      370,       487,       418,       266,       210,       354,       444,       389,       262,       579.648
341,      370,       487,       418,       266,       210,       353,       444,       388,       273,       612.929
342,      370,       487,       418,       266,       210,       353,       444,       389,       278,       652.304
342,      370,       487,       419,       266,       209,       354,       445,       389,       276,       650.859
342,      370,       486,       418,       266,       210,       353,       444,       389,       262,       562.968
342,      370,       487,       418,       266,       210,       353,       444,       389,       279,       654.14
342,      370,       487,       419,       266,       210,       353,       445,       389,       267,       604.101
342,      370,       487,       419,       266,       210,       353,       445,       389,       266,       601.015
341,      370,       487,       419,       266,       210,       354,       444,       389,       296,       746.523
342,      370,       488,       419,       266,       210,       354,       445,       389,       262,       591.757
342,      370,       487,       419,       266,       210,       354,       445,       389,       262,       586.64
341,      370,       488,       419,       266,       210,       353,       444,       389,       275,       640.195
342,      370,       488,       419,       266,       210,       353,       444,       389,       282,       679.609
342,      370,       488,       419,       267,       210,       354,       445,       389,       261,       587.578
342,      370,       488,       419,       266,       210,       354,       444,       389,       259,       569.335
341,      369,       488,       419,       266,       210,       354,       445,       389,       274,       642.109
342,      370,       488,       419,       266,       210,       354,       445,       389,       272,       638.632
341,      370,       488,       419,       266,       210,       353,       445,       389,       262,       577.695
342,      369,       488,       419,       266,       210,       353,       444,       389,       281,       670.664
342,      370,       488,       420,       266,       210,       354,       445,       389,       269,       628.046
342,      370,       488,       420,       267,       210,       354,       445,       389,       267,       624.257
342,      370,       488,       419,       266,       210,       353,       444,       389,       281,       673.398
342,      370,       488,       420,       266,       210,       353,       444,       389,       288,       717.382
342,      370,       488,       420,       266,       210,       354,       445,       389,       263,       597.968
341,      369,       488,       420,       266,       210,       354,       444,       389,       271,       625.429
342,      370,       488,       420,       266,       210,       353,       444,       389,       280,       673.203
342,      369,       488,       420,       267,       210,       354,       445,       389,       264,       603.632
341,      370,       488,       420,       266,       210,       354,       445,       389,       260,       577.812
341,      370,       488,       420,       266,       210,       354,       444,       389,       279,       668.476
343,      370,       488,       420,       266,       210,       354,       445,       389,       276,       667.695
343,      370,       488,       420,       266,       210,       354,       445,       389,       263,       606.406
342,      370,       489,       420,       266,       210,       354,       444,       389,       280,       683.945
342,      371,       489,       421,       266,       210,       354,       445,       390,       268,       642.5
343,      370,       489,       421,       267,       210,       354,       445,       390,       272,       669.101
342,      370,       489,       420,       266,       210,       354,       445,       390,       270,       645.468
343,      370,       489,       420,       267,       210,       354,       445,       389,       283,       714.765
342,      370,       489,       421,       267,       210,       355,       445,       390,       269,       653.632
343,      370,       489,       421,       267,       210,       355,       445,       390,       265,       642.421
342,      370,       489,       421,       266,       210,       354,       445,       390,       281,       703.242
343,      370,       489,       422,       267,       210,       355,       445,       390,       281,       723.867
343,      371,       489,       421,       267,       210,       354,       446,       390,       263,       633.984
